altlabels,broaderconceptpt,broaderconcepturi,concepttype,concepturi,description,preferredlabel,reuselevel,skilltype
communicate verbally in Finnish | interacting verbally in Finnish | be fluent in Finnish | verbally interact in Finnish | speak Finnish,Finnish,http://data.europa.eu/esco/skill/0e3493f4-0cad-4fbc-8e02-025f169b8114,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3048bf6d-27c7-4dc6-ae4b-e55094cec090,Communicate orally in Finnish.,interact verbally in Finnish,transversal,skill/competence
,language | languages,http://data.europa.eu/esco/skill/58095196-d766-4a5c-b16c-d941489f8e66 | http://data.europa.eu/esco/skill/L1,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/33859d93-987c-4caa-a0a9-6159ea7bbc2a,The Arabic language.,Arabic,transversal,knowledge
make sense of written Catalan | understand Catalan writing | read Catalan | understanding written Catalan | comprehend written Catalan | read Valencian | interpret written Catalan,Catalan,http://data.europa.eu/esco/skill/8ee2b6f2-7017-4b9a-9de2-4dedf0711394,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/34085657-5d64-4a68-abef-e5b7df3b3d46,Read and comprehend written texts in ​Catalan.,understand written Catalan,transversal,skill/competence
listen to Dutch | understand Dutch speech | make sense of spoken Dutch | comprehend spoken Dutch | listen to Flemish | interpret spoken Dutch | understanding spoken Dutch,Dutch,http://data.europa.eu/esco/skill/cad4f44b-28a8-4448-86e5-7389e5ebf3eb,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/347d33a8-3698-4549-a7de-722a0216ee40,Comprehend orally expressed Dutch.,understand spoken Dutch,transversal,skill/competence
,language | languages,http://data.europa.eu/esco/skill/58095196-d766-4a5c-b16c-d941489f8e66 | http://data.europa.eu/esco/skill/L1,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/354b948c-7eef-4ebc-bfd6-f60d7d5acb62,The Ukrainian language.,Ukrainian,transversal,knowledge
make sense of written Urdu | comprehend written Urdu | understanding written Urdu | interpret written Urdu | read Urdu | understand Urdu writing,Urdu,http://data.europa.eu/esco/skill/bc546a09-1103-4184-b757-3508ef5f8490,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/37992d18-8d7e-4122-ad52-fa5d2d52ebde,Read and comprehend written texts in Urdu.,understand written Urdu,transversal,skill/competence
show competency in written English | writing English | correspond in written English,English,http://data.europa.eu/esco/skill/6d3edede-8951-4621-a835-e04323300fa0,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3993c87c-7719-4186-811b-8ddfb40e76be,Compose written texts in English.,write English,transversal,skill/competence
writing Slovak | show competency in written Slovak | correspond in written Slovak,Slovak,http://data.europa.eu/esco/skill/246980fe-6222-4852-ade8-b372f7e0fd20,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/39a7d447-5a30-41b1-967d-bdcde3288c9e,Compose written texts in Slovak.,write Slovak,transversal,skill/competence
,languages | language,http://data.europa.eu/esco/skill/L1 | http://data.europa.eu/esco/skill/58095196-d766-4a5c-b16c-d941489f8e66,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/39c675c4-af13-49db-bbed-cf762102f85e,The Japanese language.,Japanese,transversal,knowledge
comprehend written Finnish | make sense of written Finnish | interpret written Finnish | understand Finnish writing | understanding written Finnish,Finnish,http://data.europa.eu/esco/skill/0e3493f4-0cad-4fbc-8e02-025f169b8114,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3a0814b1-5851-43f9-b886-1e496fefcf9c,Read and comprehend written texts in Finnish.,understand written Finnish,transversal,skill/competence
writing Azerbaijani | correspond in written Azeri Turkish | correspond in written Azeri | correspond in written Azerbaijani Turkish | correspond in written Azerbaijani | show competency in written Azerbaijani,Azerbaijani,http://data.europa.eu/esco/skill/5bfce8e7-6f22-4e67-9018-0e4161620f3a,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3a660148-e0d6-4b07-b107-10200ebb1b23,Compose written texts in Azerbaijani.,write Azerbaijani,transversal,skill/competence
speak Georgian | communicate verbally in Georgian | verbally interact in Georgian | be fluent in Georgian | interacting verbally in Georgian,Georgian,http://data.europa.eu/esco/skill/b2c1f90a-72ce-4499-ab9a-a9a5c9355d5b,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3c98d1d7-52cd-44e7-8083-c02a981e3872,Communicate orally in Georgian.,interact verbally in Georgian,transversal,skill/competence
interacting verbally in Slovak | speak Slovak | verbally interact in Slovak | be fluent in Slovak | communicate verbally in Slovak,Slovak,http://data.europa.eu/esco/skill/246980fe-6222-4852-ade8-b372f7e0fd20,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3cb08443-192d-475b-89ce-15901ed1a900,Communicate orally in Slovak.,interact verbally in Slovak,transversal,skill/competence
speak Basque | communicate verbally in Basque | interacting verbally in Basque | be fluent in Basque | verbally interact in Basque,Basque,http://data.europa.eu/esco/skill/a28fa5f1-be5b-4608-8376-acea8c2f8cb1,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3cc1fa63-1b28-44df-a93c-d09b12389a2f,Communicate orally in ​Basque.,interact verbally in Basque,transversal,skill/competence
show competency in written Serbian | writing Serbian | correspond in written Serbian,Serbian,http://data.europa.eu/esco/skill/c5cb0cc1-c40b-4544-a21c-8472f0b5c14a,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3cccda28-82cc-4e47-9442-af0cb4d64016,Compose written texts in Serbian.,write Serbian,transversal,skill/competence
show competency in written Hebrew | writing Hebrew | correspond in written Hebrew,Hebrew,http://data.europa.eu/esco/skill/8a45f04a-cd28-4ac1-8e8b-ecfd21be0b18,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/40842478-ad09-4be9-a889-97299b013609,Compose written texts in Hebrew.,write Hebrew,transversal,skill/competence
correspond in written Berber | correspond in written Tamazight | show competency in written Berber | writing Berber,Berber,http://data.europa.eu/esco/skill/6f34bd05-1297-4913-92ff-85a604242b2f,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/41253322-dc32-4d79-941c-3a8c230a1d85,Compose written texts in Berber.,write Berber,transversal,skill/competence
correspond in written Vietnamese | show competency in written Vietnamese | writing Vietnamese,Vietnamese,http://data.europa.eu/esco/skill/bf60009d-8afb-4306-9b0d-cfe2f66ab08f,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/416ca9da-3a58-4522-89a2-5746576feddd,Compose written texts in Vietnamese.,write Vietnamese,transversal,skill/competence
comprehend written Czech | understanding written Czech | understand Czech writing | interpret written Czech | read Czech | make sense of written Czech,Czech,http://data.europa.eu/esco/skill/da0795a7-6866-4afc-81ed-5e3aa398f058,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/421910b5-70e1-429e-8b32-0df5518b7ddd,Read and comprehend written texts in Czech.,understand written Czech,transversal,skill/competence
writing Portuguese | correspond in written Portuguese | show competency in written Portuguese,Portuguese,http://data.europa.eu/esco/skill/584c13e8-fd06-4ca3-a45b-cca5b2f147a7,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4264f3aa-037e-44f4-bb08-90d2337953ee,Compose written texts in Portuguese.,write Portuguese,transversal,skill/competence
correspond in written Danish | writing Danish | show competency in written Danish,Danish,http://data.europa.eu/esco/skill/273a28d6-1bd3-4d13-a906-3d75c1cfdfc1,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/42b7c03a-3ed5-4dc1-adc0-ff1fb8d4d697,Compose written texts in Danish.,write Danish,transversal,skill/competence
show competency in written Bulgarian | writing Bulgarian | correspond in written Bulgarian,Bulgarian,http://data.europa.eu/esco/skill/d5fd4958-4ca6-4d06-845f-713e2c459612,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/450e047f-bb60-4eaa-bbcf-5e7af43e7f2a,Compose written texts in Bulgarian.,write Bulgarian,transversal,skill/competence
correspond in written Georgian | writing Georgian | show competency in written Georgian,Georgian,http://data.europa.eu/esco/skill/b2c1f90a-72ce-4499-ab9a-a9a5c9355d5b,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/45ab3524-935d-4bc0-a7f3-1cf3be7e5987,Compose written texts in Georgian.,write Georgian,transversal,skill/competence
read Bulgarian | interpret written Bulgarian | make sense of written Bulgarian | comprehend written Bulgarian | understanding written Bulgarian | understand Bulgarian writing,Bulgarian,http://data.europa.eu/esco/skill/d5fd4958-4ca6-4d06-845f-713e2c459612,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/46d20520-381c-40c9-9de5-f635d0755923,Read and comprehend written texts in Bulgarian.,understand written Bulgarian,transversal,skill/competence
,language | languages,http://data.europa.eu/esco/skill/58095196-d766-4a5c-b16c-d941489f8e66 | http://data.europa.eu/esco/skill/L1,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4812a4ea-dc55-4dc6-b9b0-4a59bba2c647,The German language.,German,transversal,knowledge
comprehend written German | understand German writing | interpret written German | understanding written German | make sense of written German | read German,German,http://data.europa.eu/esco/skill/4812a4ea-dc55-4dc6-b9b0-4a59bba2c647,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/486e4f39-e968-41f4-955e-56e9eba96ef5,Read and comprehend written texts in German.,understand written German,transversal,skill/competence
comprehend spoken Kurdish | listen to Kurdish | make sense of spoken Kurdish | understand Kurdish speech | interpret spoken Kurdish | understanding spoken Kurdish,Kurdish,http://data.europa.eu/esco/skill/2874065e-6ca3-430c-912a-467da3c23704,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/49edb5ac-b80c-4c02-8509-d0e05889031e,Comprehend orally expressed ​Kurdish.,understand spoken Kurdish,transversal,skill/competence
show competency in written Montenegrin | correspond in written Montenegrin | writing Montenegrin,Montenegrin,http://data.europa.eu/esco/skill/2358a146-6e8f-43cb-872f-a12ac9c57d60,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4aaa3e87-2b29-4a83-bdff-cbe51db03fc5,Compose written texts in Montenegrin.,write Montenegrin,transversal,skill/competence
writing Japanese | correspond in written Japanese | show competency in written Japanese,Japanese,http://data.europa.eu/esco/skill/39c675c4-af13-49db-bbed-cf762102f85e,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4b873879-6d5e-46b6-80e2-1ef313b4e0ac,Compose written texts in Japanese.,write Japanese,transversal,skill/competence
,language | languages,http://data.europa.eu/esco/skill/58095196-d766-4a5c-b16c-d941489f8e66 | http://data.europa.eu/esco/skill/L1,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4b9f1ae5-0ee6-4738-8999-9b8191fba808,The Romanian language. Romanian is an official and working language of the EU.,Romanian,transversal,knowledge
show competency in written Icelandic | writing Icelandic | correspond in written Icelandic,Icelandic,http://data.europa.eu/esco/skill/a18e3090-6afb-4afb-a055-1f83bbe498e3,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4c5a2793-c18d-40b9-832d-af8e07f0f171,Compose written texts in Icelandic.,write Icelandic,transversal,skill/competence
interpret written Lithuanian | read Lithuanian | comprehend written Lithuanian | understand Lithuanian writing | make sense of written Lithuanian | understanding written Lithuanian,Lithuanian,http://data.europa.eu/esco/skill/b3950b87-a980-4cd4-a795-be8a9b63661d,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4c6fe11c-f912-4c81-b74c-2e72943abeb6,Read and comprehend written texts in Lithuanian.,understand written Lithuanian,transversal,skill/competence
understand Chinese speech | comprehend spoken Chinese | interpret spoken Chinese | make sense of spoken Chinese | comprehend spoken Cantonese | listen to Mandarin | comprehend spoken Standard Chinese | understand spoken Mandarin | understanding spoken Chinese | listen to Chinese,Chinese,http://data.europa.eu/esco/skill/1fe42b38-cd42-4fc7-ae77-14e4c9e96295,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4c92020a-110b-4daf-b1ec-c4e17c3b9b2c,Comprehend orally expressed Chinese.,understand spoken Chinese,transversal,skill/competence
interacting verbally in Walloon | be fluent in Walloon | verbally interact in Walloon | communicate verbally in Walloon | speak Walloon,Walloon,http://data.europa.eu/esco/skill/d54d7c00-87c4-4f78-af8d-e84577372974,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4ddf697a-b1e9-4ae6-931e-920de761f9df,Communicate orally in ​Walloon.,interact verbally in Walloon,transversal,skill/competence
interacting verbally in Romanian | be fluent in Romanian | verbally interact in Romanian | speak Moldavian | speak Romanian | communicate verbally in Romanian | interact verbally in Moldavian | speak Moldovan,Romanian,http://data.europa.eu/esco/skill/4b9f1ae5-0ee6-4738-8999-9b8191fba808,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4dfda994-f9a2-4cbd-b224-0ab036e69d6e,Communicate orally in Romanian.,interact verbally in Romanian,transversal,skill/competence
understand French writing | make sense of written French | read French | interpret written French | comprehend written French | understanding written French,French,http://data.europa.eu/esco/skill/e747e77e-0ea1-4001-8b07-1d11946b5f1b,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4ff6df71-6988-4300-8966-9fabb2b59186,Read and comprehend written texts in French.,understand written French,transversal,skill/competence
correspond in written Bihari | show competency in written Bihari | writing Bihari,Bihari,http://data.europa.eu/esco/skill/15ea7b6b-1b93-4ed8-b58a-5c54777e0832,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/50d8a1ff-659a-4671-be48-369242b2a3be,Compose written texts in Bihari.,write Bihari,transversal,skill/competence
interacting verbally in Hungarian | communicate verbally in Hungarian | speak Hungarian | be fluent in Hungarian | verbally interact in Hungarian,Hungarian,http://data.europa.eu/esco/skill/ddd3596a-43f3-402e-960a-5f79362a8609,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/520b5278-eb9a-4c7d-a80d-a129ffb103da,Communicate orally in Hungarian.,interact verbally in Hungarian,transversal,skill/competence
writing German | correspond in written German | show competency in written German,German,http://data.europa.eu/esco/skill/4812a4ea-dc55-4dc6-b9b0-4a59bba2c647,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/52894650-9077-40f0-96d6-6f07d1a6cafa,Compose written texts in German.,write German,transversal,skill/competence
understanding spoken Georgian | comprehend spoken Georgian | understand Georgian speech | interpret spoken Georgian | make sense of spoken Georgian | listen to Georgian,Georgian,http://data.europa.eu/esco/skill/b2c1f90a-72ce-4499-ab9a-a9a5c9355d5b,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/529d9a4f-5b96-4952-b9e6-114213366565,Comprehend orally expressed Georgian.,understand spoken Georgian,transversal,skill/competence
speak Danish | communicate verbally in Danish | verbally interact in Danish | interacting verbally in Danish | be fluent in Danish,Danish,http://data.europa.eu/esco/skill/273a28d6-1bd3-4d13-a906-3d75c1cfdfc1,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/562c4f04-4f58-4c28-bcc4-49307786067b,Communicate orally in Danish.,interact verbally in Danish,transversal,skill/competence
Languedoc | Provençal,language | languages,http://data.europa.eu/esco/skill/58095196-d766-4a5c-b16c-d941489f8e66 | http://data.europa.eu/esco/skill/L1,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/57cc6587-7efe-4ba5-982f-ac15ce1617ac,The ​Occitan language.,Occitan,transversal,knowledge
,languages | language,http://data.europa.eu/esco/skill/L1 | http://data.europa.eu/esco/skill/58095196-d766-4a5c-b16c-d941489f8e66,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/584c13e8-fd06-4ca3-a45b-cca5b2f147a7,The Portuguese language. Portuguese is an official and working language of the EU.,Portuguese,transversal,knowledge
understand Persian writing | understanding written Persian | understand written Farsi | interpret written Persian | comprehend written Farsi | make sense of written Persian | comprehend written Persian,Persian,http://data.europa.eu/esco/skill/58cabf75-2520-4358-a210-2cbc628f4aa2,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/585824c4-ef01-49fd-9b14-be00162a2387,Read and comprehend written texts in Persian.,understand written Persian,transversal,skill/competence
be fluent in Albanian | verbally interact in Albanian | interacting verbally in Albanian | communicate verbally in Albanian | speak Albanian,Albanian,http://data.europa.eu/esco/skill/f1a08ec9-32d2-4e52-ba4a-66e049019be8,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5885fe45-0fd8-4eea-ac55-f46d46a44e6c,Communicate orally in ​Albanian.,interact verbally in Albanian,transversal,skill/competence
Farsi,languages | language,http://data.europa.eu/esco/skill/L1 | http://data.europa.eu/esco/skill/58095196-d766-4a5c-b16c-d941489f8e66,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/58cabf75-2520-4358-a210-2cbc628f4aa2,The Persian language.,Persian,transversal,knowledge
speak Gujarati | be fluent in Gujarati | interacting verbally in Gujarati | communicate verbally in Gujarati | verbally interact in Gujarati,Gujarati,http://data.europa.eu/esco/skill/9b0baaa7-fed3-41b7-b74e-9d459f11acfe,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/59ac89d7-12bb-470d-818b-222963d1c357,Communicate orally in Gujarati.,interact verbally in Gujarati,transversal,skill/competence
writing Welsh | correspond in written Welsh | show competency in written Welsh,Welsh,http://data.europa.eu/esco/skill/8dbd15c6-ecf0-468c-8ae1-f6eb360743dd,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5a6ac2a6-6aa3-4b68-b2ef-b2491fb146c1,Compose written texts in Welsh.,write Welsh,transversal,skill/competence
correspond in written Macedonian | writing Macedonian | show competency in written Macedonian,Macedonian,http://data.europa.eu/esco/skill/15f261e6-4379-437e-b137-b0c473ae3e74,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5b9694a6-58b0-4179-a1bd-4bcda0352ca1,Compose written texts in Macedonian.,write Macedonian,transversal,skill/competence
Azeri | Azeri Turkish | Azerbaijani Turkish,language | languages,http://data.europa.eu/esco/skill/58095196-d766-4a5c-b16c-d941489f8e66 | http://data.europa.eu/esco/skill/L1,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5bfce8e7-6f22-4e67-9018-0e4161620f3a,The Azerbaijani language.,Azerbaijani,transversal,knowledge
,languages | language,http://data.europa.eu/esco/skill/L1 | http://data.europa.eu/esco/skill/58095196-d766-4a5c-b16c-d941489f8e66,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5de39924-769c-4301-82a5-525358dffe50,The Latvian language. Latvian is an official and working language of the EU.,Latvian,transversal,knowledge
show competency in written French | writing French | correspond in written French,French,http://data.europa.eu/esco/skill/e747e77e-0ea1-4001-8b07-1d11946b5f1b,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5dfc81aa-c395-4e88-a0e0-a2fbb681ecc0,Compose written texts in French.,write French,transversal,skill/competence
correspond in written Galician | writing Galician | show competency in written Galician,Galician,http://data.europa.eu/esco/skill/66212ff2-34b9-4812-be58-f53a0b751863,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5ec5c4f7-1b6d-4642-8470-567e666952a8,Compose written texts in ​Galician.,write Galician,transversal,skill/competence
make sense of spoken Italian | understanding spoken Italian | understand Italian speech | comprehend spoken Italian | interpret spoken Italian | listen to Italian,Italian,http://data.europa.eu/esco/skill/87219dfe-a21c-4160-8cc8-1eabf9b16b44,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5f1e9642-588c-4882-8c90-20c33cc78bc1,Comprehend orally expressed Italian.,understand spoken Italian,transversal,skill/competence
comprehend written Gujarati | understand Gujarati writing | make sense of written Gujarati | interpret written Gujarati | read Gujarati | understanding written Gujarati,Gujarati,http://data.europa.eu/esco/skill/9b0baaa7-fed3-41b7-b74e-9d459f11acfe,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5f81f163-7c84-4254-962f-69257cfa9ef5,Read and comprehend written texts in Gujarati.,understand written Gujarati,transversal,skill/competence
writing Telugu | correspond in written Telugu | show competency in written Telugu,Telugu,http://data.europa.eu/esco/skill/64fe09ac-f419-4c04-8997-d1dde2e31bfc,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5fd4e27b-49de-4609-ae44-91e47ee3d168,Compose written texts in Telugu.,write Telugu,transversal,skill/competence
comprehend spoken Azerbaijani Turkish | comprehend spoken Azeri Turkish | make sense of spoken Azerbaijani | comprehend spoken Azerbaijani | understand Azerbaijani speech | comprehend spoken Azeri | interpret spoken Azerbaijani | listen to Azerbaijani | understanding spoken Azerbaijani,Azerbaijani,http://data.europa.eu/esco/skill/5bfce8e7-6f22-4e67-9018-0e4161620f3a,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/60bb7483-e0a1-4016-a6f3-6b95261ab615,Comprehend orally expressed Azerbaijani.,understand spoken Azerbaijani,transversal,skill/competence
comprehend spoken Armenian | make sense of spoken Armenian | understand Armenian speech | listen to Armenian | interpret spoken Armenian | understanding spoken Armenian,Armenian,http://data.europa.eu/esco/skill/fcbcdf4c-d079-4010-ab4b-8356fbfa5096,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/614dcf69-dc56-4cab-bcb1-5bed1b389516,Comprehend orally expressed Armenian.,understand spoken Armenian,transversal,skill/competence
interacting verbally in Marathi | verbally interact in Marathi | speak Marathi | be fluent in Marathi | communicate verbally in Marathi,Marathi,http://data.europa.eu/esco/skill/2080075c-0488-4fbf-a786-734dbbef31ce,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/61809be5-6787-46f0-9583-ac3287e17bd6,Communicate orally  in Marathi.,interact verbally in Marathi,transversal,skill/competence
correspond in written Latvian | writing Latvian | show competency in written Latvian,Latvian,http://data.europa.eu/esco/skill/5de39924-769c-4301-82a5-525358dffe50,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/61c14f06-9edf-44c3-96af-dcecda598853,Compose written texts in Latvian.,write Latvian,transversal,skill/competence
correspond in written Slovenian | show competency in written Slovenian | writing Slovenian | write Slovene,Slovenian,http://data.europa.eu/esco/skill/9ace3aae-aeae-4ed6-b625-26bc58345554,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/61ea50d7-db19-4160-8da4-1d7bec68bec3,Compose written texts in Slovenian.,write Slovenian,transversal,skill/competence
listen to Catalan | understanding spoken Catalan | understand spoken Valencian | listen to Valencian | comprehend spoken Catalan | understand Catalan speech | interpret spoken Catalan | make sense of spoken Catalan,Catalan,http://data.europa.eu/esco/skill/8ee2b6f2-7017-4b9a-9de2-4dedf0711394,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/633b72c4-1da1-45ae-b989-4d1a5bcab1a7,Comprehend orally expressed ​Catalan.,understand spoken Catalan,transversal,skill/competence
,languages | language,http://data.europa.eu/esco/skill/L1 | http://data.europa.eu/esco/skill/58095196-d766-4a5c-b16c-d941489f8e66,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/64fe09ac-f419-4c04-8997-d1dde2e31bfc,The Telugu language.,Telugu,transversal,knowledge
listen to English | understanding spoken English | comprehend spoken English | understand English speech | make sense of spoken English | interpret spoken English,English,http://data.europa.eu/esco/skill/6d3edede-8951-4621-a835-e04323300fa0,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/64ff8d5f-58a8-4efb-af5a-e161854b3e9a,Comprehend orally expressed English.,understand spoken English,transversal,skill/competence
write Gaelic | write Irish Gaelic | writing Irish | correspond in written Irish | show competency in written Irish,Irish,http://data.europa.eu/esco/skill/8f4c0fe6-10c7-409e-92d6-245f46728209,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/65a24ec1-e173-4bd6-b160-270346e0f4bf,Compose written texts in Irish.,write Irish,transversal,skill/competence
understand Romani speech | listen to Romani | interpret spoken Romani | comprehend spoken Romani | make sense of spoken Romani | understanding spoken Romani,Romani,http://data.europa.eu/esco/skill/8ef3eccc-a847-430e-b828-cf178803b8c1,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/66120d64-6f0f-4b89-8c4f-cd271f8cb7ca,Comprehend orally expressed Romani.,understand spoken Romani,transversal,skill/competence
,language | languages,http://data.europa.eu/esco/skill/58095196-d766-4a5c-b16c-d941489f8e66 | http://data.europa.eu/esco/skill/L1,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/66212ff2-34b9-4812-be58-f53a0b751863,The ​Galician language.,Galician,transversal,knowledge
be fluent in Norwegian | communicate verbally in Norwegian | interacting verbally in Norwegian | verbally interact in Norwegian | speak Norwegian,Norwegian,http://data.europa.eu/esco/skill/829f6eb5-0b26-4152-8eb3-82dd32b2b6f2,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/67e9583d-621a-42bd-8381-4e85c9e0923a,Communicate orally in Norwegian.,interact verbally in Norwegian,transversal,skill/competence
,language | languages,http://data.europa.eu/esco/skill/58095196-d766-4a5c-b16c-d941489f8e66 | http://data.europa.eu/esco/skill/L1,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/6891bbce-20bf-4afc-bd5e-75bdf54c0165,The Russian language.,Russian,transversal,knowledge
show competency in written Swedish | writing Swedish | correspond in written Swedish,Swedish,http://data.europa.eu/esco/skill/7ee51257-8947-4b69-9bdf-322baf0a6398,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/69eb9999-814b-4293-8d6c-633e49f64de4,Compose written texts in Swedish.,write Swedish,transversal,skill/competence
listen to Portuguese | interpret spoken Portuguese | make sense of spoken Portuguese | understanding spoken Portuguese | understand Portuguese speech | comprehend spoken Portuguese,Portuguese,http://data.europa.eu/esco/skill/584c13e8-fd06-4ca3-a45b-cca5b2f147a7,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/6b7968ae-34fc-44cf-bbe4-28bded032004,Comprehend orally expressed Portuguese.,understand spoken Portuguese,transversal,skill/competence
interpret written Romani | understanding written Romani | comprehend written Romany | understand Romani writing | read Romani | comprehend written Romani | make sense of written Romani,Romani,http://data.europa.eu/esco/skill/8ef3eccc-a847-430e-b828-cf178803b8c1,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/6b99d4ad-f0aa-44bb-a75e-a65c32fc5d2f,Read and comprehend written texts in Romani.,understand written Romani,transversal,skill/competence
,languages | language,http://data.europa.eu/esco/skill/L1 | http://data.europa.eu/esco/skill/58095196-d766-4a5c-b16c-d941489f8e66,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/6bc58e91-1827-4dc7-a9cf-2311edcba0ec,The Croatian language. Croatian is an official and working language of the EU.,Croatian,transversal,knowledge
communicate verbally in Latvian | speak Latvian | be fluent in Latvian | verbally interact in Latvian | interacting verbally in Latvian,Latvian,http://data.europa.eu/esco/skill/5de39924-769c-4301-82a5-525358dffe50,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/6be5f174-9b46-4b76-9aa1-177f3845b615,Communicate orally in Latvian.,interact verbally in Latvian,transversal,skill/competence
,language | languages,http://data.europa.eu/esco/skill/58095196-d766-4a5c-b16c-d941489f8e66 | http://data.europa.eu/esco/skill/L1,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/6d3edede-8951-4621-a835-e04323300fa0,The English language. English is an official and working language of the EU.,English,transversal,knowledge
correspond in written Malay | writing Malay | show competency in written Malay | write Malaysian,Malay,http://data.europa.eu/esco/skill/1f90c205-f869-4dcf-a374-c4fdeded9cbc,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/6d4feb44-401c-480d-a05b-02ca8b38d7cd,Compose written texts in Malay.,write Malay,transversal,skill/competence
Tamazight,language | languages,http://data.europa.eu/esco/skill/58095196-d766-4a5c-b16c-d941489f8e66 | http://data.europa.eu/esco/skill/L1,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/6f34bd05-1297-4913-92ff-85a604242b2f,The language family of Berber languages.,Berber,transversal,knowledge
,language | languages,http://data.europa.eu/esco/skill/58095196-d766-4a5c-b16c-d941489f8e66 | http://data.europa.eu/esco/skill/L1,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/6f55e44d-4494-4079-9b8d-01ac6912529e,The Belarusian language.,Belarusian,transversal,knowledge
