altlabels,broaderconceptpt,broaderconcepturi,concepttype,concepturi,description,preferredlabel,reuselevel,skilltype
,languages | language,http://data.europa.eu/esco/skill/L1 | http://data.europa.eu/esco/skill/58095196-d766-4a5c-b16c-d941489f8e66,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0e3493f4-0cad-4fbc-8e02-025f169b8114,The Finnish language. Finnish is an official and working language of the EU.,Finnish,transversal,knowledge
show competency in written Ukrainian | writing Ukrainian | correspond in written Ukrainian,Ukrainian,http://data.europa.eu/esco/skill/354b948c-7eef-4ebc-bfd6-f60d7d5acb62,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0e91219a-e74a-46e6-bcf9-9e14da031343,Compose written texts in Ukrainian.,write Ukrainian,transversal,skill/competence
interacting verbally in English | speak English | be fluent in English | verbally interact in English | communicate verbally in English,English,http://data.europa.eu/esco/skill/6d3edede-8951-4621-a835-e04323300fa0,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0ee9e985-0ee5-4a73-8a12-78b53b261bb2,Communicate orally  in English.,interact verbally in English,transversal,skill/competence
interpret spoken Bosnian | make sense of spoken Bosnian | understanding spoken Bosnian | comprehend spoken Bosnian | understand Bosnian speech | listen to Bosnian,Bosnian,http://data.europa.eu/esco/skill/a9fdd2c9-4295-4407-ba3c-1547cbce40a2,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0efbd0a0-0272-445d-90a8-ebb2a9b5058b,Comprehend orally expressed ​Bosnian.,understand spoken Bosnian,transversal,skill/competence
communicate verbally in Spanish | speak Spanish | verbally interact in Spanish | interacting verbally in Spanish | be fluent in Spanish,Spanish,http://data.europa.eu/esco/skill/14ee9f76-3524-43d5-8a1a-5ba8283f8bd7,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0f58a178-1382-4df2-95e8-2b3f90e80e24,Communicate orally in Spanish.,interact verbally in Spanish,transversal,skill/competence
interpret spoken Persian | make sense of spoken Persian | comprehend spoken Farsi | listen to Farsi | understanding spoken Persian | comprehend spoken Persian | understand Persian speech | listen to Persian,Persian,http://data.europa.eu/esco/skill/58cabf75-2520-4358-a210-2cbc628f4aa2,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0f775d62-d543-40dd-aaaf-56195c2bfd80,Comprehend orally expressed Persian.,understand spoken Persian,transversal,skill/competence
understanding written Icelandic | understand Icelandic writing | read Icelandic | make sense of written Icelandic | comprehend written Icelandic | interpret written Icelandic,Icelandic,http://data.europa.eu/esco/skill/a18e3090-6afb-4afb-a055-1f83bbe498e3,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/10323914-77bf-41f2-b081-42b6e972d08d,Read and comprehend written texts in Icelandic.,understand written Icelandic,transversal,skill/competence
understand Tamil writing | understanding written Tamil | make sense of written Tamil | comprehend written Tamil | read Tamil | interpret written Tamil,Tamil,http://data.europa.eu/esco/skill/e9e9b625-f59f-4bda-952d-1f9831e6dfda,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/10b306ae-6a1b-4e62-b06d-8702cfc6814c,Read and comprehend written texts in Tamil.,understand written Tamil,transversal,skill/competence
show competency in written Punjabi | write Panjabi | correspond in written Punjabi | writing Punjabi,Punjabi,http://data.europa.eu/esco/skill/e05b9e06-d298-4646-b762-acbd485a20e9,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1299a59c-8b90-4838-8bef-0065cdfc8bdf,Compose written texts in Punjabi.,write Punjabi,transversal,skill/competence
comprehend written Basque | interpret written Basque | make sense of written Basque | understanding written Basque | understand Basque  writing | read Basque,Basque,http://data.europa.eu/esco/skill/a28fa5f1-be5b-4608-8376-acea8c2f8cb1,KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/13fc11d0-d35f-4a2c-9115-b0e2ed372523,Read and comprehend written texts in ​Basque.,understand written Basque,transversal,skill/competence
